epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.9716,1.27161,2.58907,1.46783,0.00444,1,0.77458,0.43019,0.9224,2.82729,1.28751,0.00014,0.00014,0.00014
2,56.9421,1.11733,2.40178,1.33441,0.00444,1,0.82254,0.50439,0.89022,2.78539,1.25099,0.00029406,0.00029406,0.00029406
3,85.2439,1.20551,2.16599,1.44873,0.00444,1,0.78649,0.44913,1.04761,2.69502,1.2678,0.000441784,0.000441784,0.000441784
4,113.957,1.21828,1.78405,1.39466,0.00444,1,0.48637,0.3064,1.09509,2.80531,1.44392,0.000583172,0.000583172,0.000583172
5,141.017,1.20828,1.58353,1.34237,0.8476,0.20833,0.58789,0.34637,1.09426,2.43915,1.40331,0.000718224,0.000718224,0.000718224
6,168.724,1.16668,1.39072,1.35609,0.83692,0.64206,0.79742,0.46811,1.15788,2.07822,1.43405,0.00084694,0.00084694,0.00084694
7,197.617,1.29271,1.51507,1.44133,0.75621,0.70833,0.66531,0.35458,1.45502,2.18771,1.55126,0.00096932,0.00096932,0.00096932
8,225.617,1.18814,1.38739,1.35438,0.87069,0.79167,0.8412,0.42935,1.37084,1.98145,1.53883,0.00108536,0.00108536,0.00108536
9,252.752,1.24376,1.33931,1.3697,0.87183,0.91667,0.90151,0.56835,1.11789,1.45984,1.47589,0.00119507,0.00119507,0.00119507
10,280.984,1.25109,1.32568,1.32992,0.80469,0.79167,0.84811,0.50453,1.19239,1.58388,1.45619,0.00129844,0.00129844,0.00129844
11,308.992,1.11498,1.2653,1.25376,0.90242,0.77117,0.92269,0.52383,1.17688,1.54408,1.42256,0.00139548,0.00139548,0.00139548
12,334.566,1.24734,1.36297,1.31436,0.79869,0.82679,0.9259,0.51466,1.17514,1.69747,1.45499,0.00148618,0.00148618,0.00148618
13,361.466,1.18788,1.35763,1.3009,0.8521,0.7206,0.88877,0.51474,1.13091,1.84383,1.45145,0.0015248,0.0015248,0.0015248
14,387.792,1.17534,1.30717,1.32876,0.78871,0.75,0.87105,0.47726,1.11091,2.35027,1.42157,0.0014852,0.0014852,0.0014852
