epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
15,414.008,1.14646,1.24364,1.26761,0.79857,0.875,0.88766,0.56801,1.16663,2.13246,1.42117,0.0014456,0.0014456,0.0014456
16,439.907,1.13645,1.18699,1.30244,0.93003,0.91667,0.94853,0.57388,1.1825,1.81858,1.50334,0.001406,0.001406,0.001406
17,465.965,1.14171,1.25476,1.27826,0.64376,0.90381,0.80852,0.47549,1.21877,1.87954,1.52205,0.0013664,0.0013664,0.0013664
18,492.695,1.08556,1.132,1.29078,0.79236,0.79167,0.85413,0.50164,1.2082,1.52185,1.54783,0.0013268,0.0013268,0.0013268
19,518.471,1.04701,1.04448,1.20652,0.94457,0.875,0.92945,0.59158,1.16856,1.3472,1.51602,0.0012872,0.0012872,0.0012872
20,544.768,1.0539,1.13568,1.28843,0.88785,0.875,0.93191,0.61411,1.07714,1.34076,1.40071,0.0012476,0.0012476,0.0012476
21,571.378,1.13708,1.10229,1.31094,0.87728,0.89401,0.93664,0.64045,1.05888,1.49654,1.48664,0.001208,0.001208,0.001208
22,597.927,1.10549,1.09812,1.26291,0.86672,0.91667,0.91609,0.59187,1.12719,1.54404,1.50494,0.0011684,0.0011684,0.0011684
23,625.142,1.06815,1.06093,1.26097,0.84748,0.91667,0.90761,0.54147,1.19067,1.5322,1.46756,0.0011288,0.0011288,0.0011288
24,2308.82,1.03004,1.03876,1.22406,0.84749,0.92644,0.92776,0.55791,1.23046,1.34349,1.48611,0.0010892,0.0010892,0.0010892
25,2347.2,1.07634,0.9963,1.23024,0.95704,0.95833,0.94469,0.58429,1.2308,1.28565,1.59052,0.0010496,0.0010496,0.0010496
26,2380.61,1.04443,1.02672,1.20822,0.94439,0.875,0.94145,0.57975,1.21283,1.30928,1.60896,0.00101,0.00101,0.00101
27,2412.87,1.06534,1.01901,1.21055,0.98467,0.83333,0.92789,0.58563,1.17668,1.33915,1.49783,0.0009704,0.0009704,0.0009704
28,2448.08,1.00427,0.97693,1.19749,0.98472,0.83333,0.92663,0.57705,1.15688,1.329,1.47419,0.0009308,0.0009308,0.0009308
29,2484.47,0.96219,0.91603,1.16435,0.95555,0.83333,0.92052,0.56912,1.1598,1.22463,1.4963,0.0008912,0.0008912,0.0008912
30,2521.22,1.02621,0.97803,1.23163,0.95124,0.875,0.91791,0.57169,1.16729,1.18903,1.51162,0.0008516,0.0008516,0.0008516
31,2563.16,1.0235,0.91044,1.1756,0.95635,0.91667,0.95116,0.58905,1.11293,1.09477,1.44065,0.000812,0.000812,0.000812
32,2603.92,0.94432,0.90875,1.20728,0.99343,0.91667,0.96375,0.64038,1.0496,1.10021,1.32773,0.0007724,0.0007724,0.0007724
33,2640.53,1.01897,0.961,1.17938,0.95506,0.88593,0.97025,0.62059,1.07172,1.15456,1.30367,0.0007328,0.0007328,0.0007328
34,2680.99,0.97119,0.97262,1.18401,0.93224,0.79167,0.93628,0.60698,1.06014,1.10384,1.30188,0.0006932,0.0006932,0.0006932
35,2731.53,1.04092,0.91214,1.23628,0.98092,0.79167,0.93004,0.60276,1.04657,1.05639,1.32193,0.0006536,0.0006536,0.0006536
36,2773.76,0.92017,0.9041,1.15728,1,0.82439,0.93933,0.60962,1.10631,1.04752,1.37811,0.000614,0.000614,0.000614
37,2811.7,0.95494,0.83949,1.15515,0.95035,0.91667,0.95385,0.61859,1.10384,0.98801,1.35418,0.0005744,0.0005744,0.0005744
38,2840.68,0.98287,0.88694,1.18885,0.94628,0.875,0.9692,0.63117,1.0375,0.94545,1.30784,0.0005348,0.0005348,0.0005348
39,2866.62,0.94629,0.90096,1.1735,0.88429,0.95538,0.97296,0.63319,1.00809,0.93978,1.29182,0.0004952,0.0004952,0.0004952
40,2895.27,0.86374,0.86449,1.10432,0.88712,0.98277,0.97698,0.65485,1.02655,0.92649,1.30281,0.0004556,0.0004556,0.0004556
41,2921.68,0.82101,0.98255,1.05761,0.94659,0.91667,0.97728,0.64275,1.04914,0.92536,1.31523,0.000416,0.000416,0.000416
42,2949.88,0.8084,0.92971,1.07563,0.95132,0.91667,0.98437,0.66599,1.05099,0.92013,1.3135,0.0003764,0.0003764,0.0003764
43,2976.61,0.80217,0.88956,1.112,0.95812,0.95332,0.98762,0.66948,1.03774,0.88645,1.303,0.0003368,0.0003368,0.0003368
44,3003,0.74224,0.83053,1.03494,0.99097,0.91667,0.98885,0.66284,1.04559,0.85816,1.3131,0.0002972,0.0002972,0.0002972
45,3029.14,0.77788,0.84452,1.05629,0.95793,0.94898,0.99026,0.65527,1.05665,0.84119,1.34376,0.0002576,0.0002576,0.0002576
46,3055.5,0.76703,0.80874,1.06736,0.99425,0.91667,0.98885,0.65179,1.05535,0.83763,1.365,0.000218,0.000218,0.000218
47,3081.75,0.76545,0.80687,1.05327,0.99516,0.91667,0.98885,0.66156,1.04298,0.84192,1.38211,0.0001784,0.0001784,0.0001784
48,3109.54,0.73177,0.8092,1.0381,0.9962,0.91667,0.98885,0.65499,1.0278,0.84601,1.37889,0.0001388,0.0001388,0.0001388
49,3138.39,0.81497,0.83985,1.10128,0.99643,0.91667,0.98885,0.65799,1.01895,0.85003,1.36876,9.92e-05,9.92e-05,9.92e-05
50,3165.41,0.73695,0.81363,1.08266,0.99602,0.91667,0.98467,0.66013,1.01321,0.84907,1.36268,5.96e-05,5.96e-05,5.96e-05
