epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
22,1391.43,1.14122,0.84109,1.25553,0.82621,0.91667,0.87852,0.45871,1.52441,1.17037,1.97103,0.0011684,0.0011684,0.0011684
23,1448.95,1.1598,0.90599,1.31582,0.64662,0.625,0.6869,0.32929,1.67176,1.41117,2.10727,0.0011288,0.0011288,0.0011288
24,1503.63,1.22693,0.93387,1.38181,0.65306,0.79167,0.70873,0.34458,1.54831,1.30397,1.79593,0.0010892,0.0010892,0.0010892
25,1559.87,1.1576,0.86893,1.28169,0.73352,0.875,0.8567,0.48542,1.31873,1.07616,1.58877,0.0010496,0.0010496,0.0010496
26,1619.6,1.13515,0.9215,1.3127,0.80291,0.875,0.92191,0.54239,1.21437,1.16481,1.44167,0.00101,0.00101,0.00101
27,1680.02,1.10176,0.82828,1.2627,0.86543,0.91667,0.94276,0.53965,1.20801,1.26808,1.42134,0.0009704,0.0009704,0.0009704
28,1738.36,1.00976,0.80318,1.21436,0.80644,0.91667,0.9428,0.5689,1.18486,1.08731,1.4645,0.0009308,0.0009308,0.0009308
29,1798.77,0.98666,0.74433,1.20146,0.9111,0.875,0.94029,0.57928,1.16106,0.87534,1.50313,0.0008912,0.0008912,0.0008912
30,1854.48,1.06489,0.78248,1.30778,0.9583,0.83333,0.96829,0.62995,1.13587,0.76593,1.50037,0.0008516,0.0008516,0.0008516
31,1909.89,1.03966,0.74591,1.23405,0.9479,0.7584,0.90607,0.54893,1.13932,0.82235,1.4975,0.000812,0.000812,0.000812
32,1964.78,1.00457,0.71222,1.28145,0.94566,0.72562,0.8473,0.51639,1.19852,0.91435,1.52596,0.0007724,0.0007724,0.0007724
33,2019.23,0.98771,0.73783,1.20379,0.9037,0.79167,0.87882,0.5564,1.10562,0.91568,1.46097,0.0007328,0.0007328,0.0007328
34,2073.89,0.96788,0.77775,1.1868,0.91801,0.79167,0.91343,0.60869,1.05268,0.79966,1.39808,0.0006932,0.0006932,0.0006932
35,2132.91,1.08219,0.73544,1.3022,0.93551,0.83333,0.92438,0.6038,1.03044,0.75311,1.32182,0.0006536,0.0006536,0.0006536
36,2187.35,0.93556,0.71889,1.18189,0.93669,0.83333,0.9218,0.60568,1.04045,0.68669,1.36884,0.000614,0.000614,0.000614
37,2241.22,0.91554,0.63612,1.17059,0.9519,0.8249,0.93892,0.63144,1.02639,0.6825,1.38183,0.0005744,0.0005744,0.0005744
38,2296.07,1.03114,0.69985,1.22707,0.87518,0.87654,0.94069,0.6158,1.03756,0.6609,1.35596,0.0005348,0.0005348,0.0005348
39,2350.44,0.92956,0.72368,1.17531,0.94602,0.83333,0.96158,0.61788,1.09901,0.65717,1.36273,0.0004952,0.0004952,0.0004952
40,2410.12,0.8765,0.68843,1.13441,0.94657,0.83333,0.95773,0.59896,1.11729,0.65266,1.38972,0.0004556,0.0004556,0.0004556
41,2484.55,0.77387,0.62075,1.06696,0.94265,0.83333,0.95623,0.60688,1.10408,0.69673,1.37769,0.000416,0.000416,0.000416
42,2554.95,0.83977,0.62543,1.14584,0.96733,0.83333,0.96098,0.62189,1.06011,0.62122,1.33618,0.0003764,0.0003764,0.0003764
43,2618.81,0.85242,0.58195,1.17665,0.97248,0.83333,0.95817,0.6247,1.02139,0.60764,1.31772,0.0003368,0.0003368,0.0003368
44,2679,0.76299,0.52921,1.06661,0.90568,0.83333,0.95431,0.62113,1.01253,0.61411,1.30031,0.0002972,0.0002972,0.0002972
45,2736.82,0.78288,0.59042,1.09608,0.95068,0.83333,0.95322,0.62395,1.02542,0.60849,1.30564,0.0002576,0.0002576,0.0002576
46,2800.46,0.79287,0.54814,1.10491,0.96811,0.83333,0.95669,0.62496,1.03496,0.61819,1.30809,0.000218,0.000218,0.000218
47,2862.72,0.79662,0.51114,1.09105,0.99407,0.83333,0.95953,0.61659,1.04051,0.63268,1.30587,0.0001784,0.0001784,0.0001784
48,2918.66,0.77953,0.50011,1.0935,0.99442,0.83333,0.96652,0.61763,1.05253,0.61867,1.32156,0.0001388,0.0001388,0.0001388
49,2979.96,0.77418,0.53425,1.10292,0.99459,0.83333,0.96683,0.62471,1.04653,0.61161,1.32294,9.92e-05,9.92e-05,9.92e-05
50,3035.92,0.74928,0.51057,1.12325,1,0.87088,0.96985,0.63031,1.0441,0.60337,1.32737,5.96e-05,5.96e-05,5.96e-05
