epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,71.2199,1.27519,2.1573,1.51501,0.80093,0.875,0.83571,0.55868,0.97167,2.1031,1.16299,0.00014,0.00014,0.00014
2,137.523,1.15185,1.41168,1.3255,0.81804,0.95833,0.88971,0.52391,1.08548,1.71478,1.23967,0.00029406,0.00029406,0.00029406
3,204.899,1.19412,1.3528,1.44485,0.82667,0.83333,0.87261,0.46948,1.3215,1.64028,1.55717,0.000441784,0.000441784,0.000441784
4,275.114,1.27134,1.34069,1.3876,0.30284,0.61553,0.34565,0.18577,1.57994,3.90308,1.62076,0.000583172,0.000583172,0.000583172
5,347.377,1.28657,1.19059,1.33576,0.14613,0.33333,0.12157,0.05237,2.12864,4.1599,2.10186,0.000718224,0.000718224,0.000718224
6,419.369,1.223,1.09221,1.3348,0.50049,0.66667,0.59319,0.2706,1.46109,4.22184,1.61842,0.00084694,0.00084694,0.00084694
7,488.567,1.36565,1.2014,1.48108,0.0888,0.41667,0.06704,0.02777,1.57603,4.62065,2.1218,0.00096932,0.00096932,0.00096932
8,558.38,1.21925,1.22236,1.36282,0.40327,0.45833,0.34231,0.18558,1.42551,6.52718,2.00064,0.00108536,0.00108536,0.00108536
9,633.511,1.28389,1.25364,1.39196,0.366,0.54167,0.43498,0.24273,1.62447,6.38906,2.44525,0.00119507,0.00119507,0.00119507
10,704.713,1.25439,1.26949,1.33465,0.33086,0.45339,0.38776,0.19664,1.57397,4.66453,2.04305,0.00129844,0.00129844,0.00129844
11,770.57,1.23803,1.38456,1.36712,0.40847,0.125,0.17728,0.0774,1.96367,5.16123,2.46722,0.00139548,0.00139548,0.00139548
12,832.054,1.4201,1.23156,1.45649,0.35654,0.125,0.06927,0.03024,2.85408,3.50133,3.25753,0.00148618,0.00148618,0.00148618
13,894.731,1.40442,1.27494,1.46703,0.0111,0.125,0.00442,0.00071,3.7744,5.45487,5.13511,0.0015248,0.0015248,0.0015248
14,952.683,1.22226,1.00905,1.41372,0.2599,0.25,0.12981,0.05879,3.12488,5.31213,3.2955,0.0014852,0.0014852,0.0014852
15,1008.8,1.24318,1.05088,1.3595,0.22261,0.375,0.12012,0.04735,2.69965,5.34205,3.09662,0.0014456,0.0014456,0.0014456
16,1062.9,1.26151,0.99095,1.39962,0.28148,0.5,0.32109,0.125,1.90367,3.2657,1.93273,0.001406,0.001406,0.001406
17,1118.05,1.17603,1.02682,1.33099,0.48108,0.75,0.58216,0.29937,1.56255,1.94452,1.70873,0.0013664,0.0013664,0.0013664
18,1173.33,1.14117,0.93514,1.32328,0.66671,0.66667,0.67482,0.27015,1.73053,1.99185,1.81388,0.0013268,0.0013268,0.0013268
19,1229.57,1.09582,0.86765,1.24067,0.64392,0.83333,0.81812,0.43273,1.37141,1.74888,1.72352,0.0012872,0.0012872,0.0012872
20,1283.13,1.08492,0.89203,1.31429,0.67694,0.87313,0.80231,0.38521,1.59726,1.91518,1.98696,0.0012476,0.0012476,0.0012476
21,1337.05,1.12824,0.93947,1.3132,0.71445,0.83404,0.86625,0.44133,1.50746,1.51195,1.97589,0.001208,0.001208,0.001208
